pincode,postal_code,locality,city,statename
110005,DL0027,Anand Parbat,Delhi,Delhi
110005,DL0036,Aram Bagh,Delhi,Delhi
110005,DL0044,Arya Samaj Marg Nr Karol Bagh,Delhi,Delhi
110005,DL0045,Arya Samaj Rd,Delhi,Delhi
110005,DL0073,Aziz Ganj,Delhi,Delhi
110005,DL0095,Bapa Nagar Nrpragati Maidan,Delhi,Delhi
110005,DL0110,Beadon Pura,Delhi,Delhi
110005,DL0160,Channa Market,Delhi,Delhi
110005,DL0186,D B Gupta Rd,Delhi,Delhi
110005,DL0208,Dev Nagar,Delhi,Delhi
110005,DL0220,Dori Walan,Delhi,Delhi
110005,DL0221,Doriwalan East Park Rd,Delhi,Delhi
110005,DL0242,Faiz Rd,Delhi,Delhi
110005,DL0314,Gurudwara Rd,Delhi,Delhi
110005,DL0317,Hardhian Singh Rd,Delhi,Delhi
110005,DL0402,Karol Bagh,Delhi,Delhi
110005,DL0469,Main Pusa Rd,Delhi,Delhi
110005,DL0513,Miawali Nagar,Delhi,Delhi
110005,DL0516,Model Basti,Delhi,Delhi
110005,DL0576,Nehru Nagar Near Anand Parbat,Delhi,Delhi
110005,DL0659,Prasad Nagar,Delhi,Delhi
110005,DL0683,Pusa Rd,Delhi,Delhi
110005,DL0723,Regar Pura,Delhi,Delhi
110005,DL0804,Shastri Park Near Beadon Pura,Delhi,Delhi
110005,DL0826,Sidipura,Delhi,Delhi
110005,DL0873,Than Singh Nagar,Delhi,Delhi
110006,DL0166,CHOTA BAZAR NR CHANDNI CHOWK,DELHI,DELHI
110006,DL0628,PAHARI DHEERAJ,DELHI,DELHI
110006,DL0686,QUTAB ENCLAVE,DELHI,DELHI
110006,DL0722,RED FORT,DELHI,DELHI
110006,DL0732,SADAR BAZAR MAIN,DELHI,DELHI
110006,DL0753,SARAI KHALIL,DELHI,DELHI
110006,DL0194,DARIBA KALAN,DELHI,DELHI
110006,DL0239,EAST SADAR THANA RD,DELHI,DELHI
110006,DL0244,FARASH KHANA,DELHI,DELHI
110006,DL0247,FASIL RD,DELHI,DELHI
110006,DL0249,FATEH PURI,DELHI,DELHI
110006,DL0258,FROGH BAZAAR,DELHI,DELHI
110006,DL0272,GALI RAJAN KUCHA CHELAN,DELHI,DELHI
110006,DL0273,GALI SHEESH MAHAL,DELHI,DELHI
110006,DL0280,GAUSHALA MARG,DELHI,DELHI
110006,DL0326,HAUZ QAZI,DELHI,DELHI
